Row: 11 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=979×1280, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355367000, height=1280, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1772355367, writer=NULL, date_expires=NULL, composer=NULL, _display_name=mmexport1660547967755.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009124, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/mmexport1660547967755.jpg, _size=83368, album=NULL, genre=NULL, title=mmexport1660547967755, width=979, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=76494, is_download=0, generation_modified=76496, is_pending=0, date_added=1772355367, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 12 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=1920×1440, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355356000, height=1440, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=0.0, volume_name=external_primary, date_modified=1772355367, writer=NULL, date_expires=NULL, composer=NULL, _display_name=-566ea5fd8635a439.jpg, scene_capture_type=NULL, datetaken=1772355356000, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009125, iso=0, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/-566ea5fd8635a439.jpg, _size=253521, album=NULL, genre=NULL, title=-566ea5fd8635a439, width=1920, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=0.0, group_id=NULL, document_id=NULL, generation_added=76499, is_download=0, generation_modified=76501, is_pending=0, date_added=1772355367, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 13 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=720×960, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355386000, height=960, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1772355386, writer=NULL, date_expires=NULL, composer=NULL, _display_name=Image_1764758184307.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009126, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/Image_1764758184307.jpg, _size=134152, album=NULL, genre=NULL, title=Image_1764758184307, width=720, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=76504, is_download=0, generation_modified=76506, is_pending=0, date_added=1772355386, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 14 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=3060×4080, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355386000, height=4080, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=0.0, volume_name=external_primary, date_modified=1772355386, writer=NULL, date_expires=NULL, composer=NULL, _display_name=Image_1764758182690.jpg, scene_capture_type=0, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009127, iso=0, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/Image_1764758182690.jpg, _size=4020812, album=NULL, genre=NULL, title=Image_1764758182690, width=3060, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=0.0, group_id=NULL, document_id=NULL, generation_added=76509, is_download=0, generation_modified=76511, is_pending=0, date_added=1772355386, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 15 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=1920×1440, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355398000, height=1440, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=0.0, volume_name=external_primary, date_modified=1772355406, writer=NULL, date_expires=NULL, composer=NULL, _display_name=Cache_14568e8f49fe39dc.jpg, scene_capture_type=NULL, datetaken=1772355398000, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009128, iso=0, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/Cache_14568e8f49fe39dc.jpg, _size=345050, album=NULL, genre=NULL, title=Cache_14568e8f49fe39dc, width=1920, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=0.0, group_id=NULL, document_id=NULL, generation_added=76514, is_download=0, generation_modified=76516, is_pending=0, date_added=1772355406, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 16 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=6528×4896, latitude=NULL, orientation=0, artist=NULL, author=NULL, inferred_date=1772355398000, height=4896, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=0.0, volume_name=external_primary, date_modified=1772355407, writer=NULL, date_expires=NULL, composer=NULL, _display_name=IMG_20230730_173215.jpg, scene_capture_type=0, datetaken=1772355398000, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009129, iso=0, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/IMG_20230730_173215.jpg, _size=7201004, album=NULL, genre=NULL, title=IMG_20230730_173215, width=6528, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=0.0, group_id=NULL, document_id=NULL, generation_added=76519, is_download=0, generation_modified=76522, is_pending=0, date_added=1772355407, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 17 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=6528×4896, latitude=NULL, orientation=0, artist=NULL, author=NULL, inferred_date=1772355398000, height=4896, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=0.0, volume_name=external_primary, date_modified=1772355407, writer=NULL, date_expires=NULL, composer=NULL, _display_name=IMG_20230730_173309.jpg, scene_capture_type=0, datetaken=1772355398000, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009130, iso=0, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/IMG_20230730_173309.jpg, _size=6922180, album=NULL, genre=NULL, title=IMG_20230730_173309, width=6528, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=0.0, group_id=NULL, document_id=NULL, generation_added=76520, is_download=0, generation_modified=76526, is_pending=0, date_added=1772355407, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 18 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=1280×960, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355407000, height=960, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1772355407, writer=NULL, date_expires=NULL, composer=NULL, _display_name=Cache_-6f42065db46325ef.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009131, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/Cache_-6f42065db46325ef.jpg, _size=191956, album=NULL, genre=NULL, title=Cache_-6f42065db46325ef, width=1280, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=76529, is_download=0, generation_modified=76531, is_pending=0, date_added=1772355407, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 19 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=1920×1082, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355407000, height=1082, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1772355407, writer=NULL, date_expires=NULL, composer=NULL, _display_name=Cache_7104dd0ff09f2ff.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009132, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/Cache_7104dd0ff09f2ff.jpg, _size=428863, album=NULL, genre=NULL, title=Cache_7104dd0ff09f2ff, width=1920, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=76534, is_download=0, generation_modified=76536, is_pending=0, date_added=1772355407, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 20 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=886×1526, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355880000, height=1526, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1772355880, writer=NULL, date_expires=NULL, composer=NULL, _display_name=20260126_145947.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009133, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/20260126_145947.jpg, _size=130915, album=NULL, genre=NULL, title=20260126_145947, width=886, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=76539, is_download=0, generation_modified=76541, is_pending=0, date_added=1772355880, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
